"Account_status" "Duration" "Credit_history" "Purpose" "Amount" "Savings" "Employment" "Installment_rate" "Guarantors" "Resident_since" "Property" "Age" "Other_plans" "Housing" "Num_credits" "Job" "People_maintenance" "Phone" "Foreign" "BAD" "Female" "probability" "predicted"
"189" "< 0 DM" 12 "existing credits paid back duly till now" "radio / television" 674 "100 <= ... <  500 DM" "4  <= ... < 7 years" 4 "none" 1 "building society savings agreement / life insurance" 20 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "BAD" "Female" 0.42424242 0
"190" "0 < ... <  200 DM" 18 "no credits taken / all credits paid back duly" "furniture / equipment" 3244 "< 100 DM" "1  <= ... < 4 years" 1 "none" 4 "car or other" 33 "bank" "A152" 2 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Male" 0.55172414 1
"191" "no checking account" 24 "existing credits paid back duly till now" "business" 4591 ">= 1000 DM" "1  <= ... < 4 years" 2 "none" 3 "building society savings agreement / life insurance" 54 "none" "A152" 3 "management / self-employed / highly qualified employee / officer" 1 "yes, registered under the customers name" "yes" "BAD" "Female" 0.09302326 0
"192" "0 < ... <  200 DM" 48 "no credits taken / all credits paid back duly" "business" 3844 "100 <= ... <  500 DM" "4  <= ... < 7 years" 4 "none" 4 "unknown / no property" 34 "none" "A153" 1 "unskilled - resident" 2 "none" "yes" "BAD" "Female" 0.65608466 1
"193" "0 < ... <  200 DM" 27 "existing credits paid back duly till now" "business" 3915 "< 100 DM" "1  <= ... < 4 years" 4 "none" 2 "car or other" 36 "none" "A152" 1 "skilled employee / official" 2 "yes, registered under the customers name" "yes" "BAD" "Female" 0.40217391 0
"194" "no checking account" 6 "existing credits paid back duly till now" "radio / television" 2108 "< 100 DM" "4  <= ... < 7 years" 2 "none" 2 "real estate" 29 "none" "A151" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.02614379 0
"195" "0 < ... <  200 DM" 45 "existing credits paid back duly till now" "radio / television" 3031 "100 <= ... <  500 DM" "1  <= ... < 4 years" 4 "guarantor" 4 "building society savings agreement / life insurance" 21 "none" "A151" 1 "skilled employee / official" 1 "none" "yes" "BAD" "Female" 0.54938272 1
"196" "0 < ... <  200 DM" 9 "critical account / other credits existing (not at this bank)" "education" 1501 "< 100 DM" ">= 7 years" 2 "none" 3 "car or other" 34 "none" "A152" 2 "management / self-employed / highly qualified employee / officer" 1 "yes, registered under the customers name" "yes" "BAD" "Male" 0.17919075 0
"197" "no checking account" 6 "critical account / other credits existing (not at this bank)" "radio / television" 1382 "< 100 DM" "1  <= ... < 4 years" 1 "none" 1 "car or other" 28 "none" "A152" 2 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Male" 0.05076142 0
"198" "0 < ... <  200 DM" 12 "existing credits paid back duly till now" "furniture / equipment" 951 "100 <= ... <  500 DM" "< 1 year" 4 "none" 4 "car or other" 27 "bank" "A151" 4 "skilled employee / official" 1 "none" "yes" "BAD" "Male" 0.59701493 1
"199" "0 < ... <  200 DM" 24 "existing credits paid back duly till now" "car (used)" 2760 "unknown / no savings account" ">= 7 years" 4 "none" 4 "unknown / no property" 36 "bank" "A153" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.25139665 0
"200" "0 < ... <  200 DM" 18 "delay in paying off in the past" "furniture / equipment" 4297 "< 100 DM" ">= 7 years" 4 "none" 3 "unknown / no property" 40 "none" "A152" 1 "management / self-employed / highly qualified employee / officer" 1 "yes, registered under the customers name" "yes" "BAD" "Female" 0.44808743 0
"201" "no checking account" 9 "critical account / other credits existing (not at this bank)" "education" 936 "500 <= ... < 1000 DM" ">= 7 years" 4 "none" 2 "car or other" 52 "none" "A152" 2 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.04519774 0
"202" "< 0 DM" 12 "existing credits paid back duly till now" "car (new)" 1168 "< 100 DM" "1  <= ... < 4 years" 4 "none" 3 "real estate" 27 "none" "A152" 1 "unskilled - resident" 1 "none" "yes" "GOOD" "Female" 0.62303665 1
"203" "no checking account" 27 "delay in paying off in the past" "business" 5117 "< 100 DM" "4  <= ... < 7 years" 3 "none" 4 "car or other" 26 "none" "A152" 2 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.22282609 0
"204" "< 0 DM" 12 "existing credits paid back duly till now" "retrainin" 902 "< 100 DM" "4  <= ... < 7 years" 4 "none" 4 "building society savings agreement / life insurance" 21 "none" "A151" 1 "skilled employee / official" 1 "none" "yes" "BAD" "Female" 0.34375 0
"205" "no checking account" 12 "critical account / other credits existing (not at this bank)" "car (new)" 1495 "< 100 DM" ">= 7 years" 4 "none" 1 "real estate" 38 "none" "A152" 2 "unskilled - resident" 2 "none" "yes" "GOOD" "Female" 0.13186813 0
"206" "< 0 DM" 30 "critical account / other credits existing (not at this bank)" "car (used)" 10623 "< 100 DM" ">= 7 years" 3 "none" 4 "unknown / no property" 38 "none" "A153" 3 "management / self-employed / highly qualified employee / officer" 2 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.4640884 0
"207" "no checking account" 12 "critical account / other credits existing (not at this bank)" "furniture / equipment" 1935 "< 100 DM" ">= 7 years" 4 "none" 4 "real estate" 43 "none" "A152" 3 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.02824859 0
"208" "0 < ... <  200 DM" 12 "critical account / other credits existing (not at this bank)" "domestic appliances" 1424 "< 100 DM" "4  <= ... < 7 years" 4 "none" 3 "building society savings agreement / life insurance" 26 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.33333333 0
"209" "< 0 DM" 24 "existing credits paid back duly till now" "business" 6568 "< 100 DM" "1  <= ... < 4 years" 2 "none" 2 "car or other" 21 "stores" "A152" 1 "unskilled - resident" 1 "none" "yes" "GOOD" "Female" 0.6010101 1
"210" "no checking account" 12 "existing credits paid back duly till now" "car (used)" 1413 ">= 1000 DM" "4  <= ... < 7 years" 3 "none" 2 "building society savings agreement / life insurance" 55 "none" "A152" 1 "skilled employee / official" 1 "none" "no" "GOOD" "Female" 0.04591837 0
"211" "no checking account" 9 "critical account / other credits existing (not at this bank)" "radio / television" 3074 "unknown / no savings account" "1  <= ... < 4 years" 1 "none" 2 "real estate" 33 "none" "A152" 2 "skilled employee / official" 2 "none" "yes" "GOOD" "Female" 0.02857143 0
"212" "no checking account" 36 "existing credits paid back duly till now" "radio / television" 3835 "unknown / no savings account" ">= 7 years" 2 "none" 4 "real estate" 45 "none" "A152" 1 "unskilled - resident" 1 "yes, registered under the customers name" "yes" "GOOD" "Male" 0.07894737 0
"213" "< 0 DM" 27 "no credits taken / all credits paid back duly" "business" 5293 "< 100 DM" "unemployed" 2 "none" 4 "building society savings agreement / life insurance" 50 "stores" "A152" 2 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "BAD" "Female" 0.52604167 1
"214" ">= 200 DM" 30 "delay in paying off in the past" "business" 1908 "< 100 DM" ">= 7 years" 4 "none" 4 "real estate" 66 "none" "A152" 1 "management / self-employed / highly qualified employee / officer" 1 "yes, registered under the customers name" "yes" "BAD" "Female" 0.25396825 0
"215" "no checking account" 36 "critical account / other credits existing (not at this bank)" "radio / television" 3342 "unknown / no savings account" ">= 7 years" 4 "none" 2 "car or other" 51 "none" "A152" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.01764706 0
"216" "0 < ... <  200 DM" 6 "critical account / other credits existing (not at this bank)" "retrainin" 932 "unknown / no savings account" "4  <= ... < 7 years" 1 "none" 3 "building society savings agreement / life insurance" 39 "none" "A152" 2 "unskilled - resident" 1 "none" "yes" "GOOD" "Male" 0.13586957 0
"217" "< 0 DM" 18 "no credits taken / all credits paid back duly" "business" 3104 "< 100 DM" "4  <= ... < 7 years" 3 "none" 1 "building society savings agreement / life insurance" 31 "bank" "A152" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.52298851 1
"218" ">= 200 DM" 36 "existing credits paid back duly till now" "radio / television" 3913 "< 100 DM" "1  <= ... < 4 years" 2 "none" 2 "real estate" 23 "none" "A152" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.39655172 0
"219" "< 0 DM" 24 "existing credits paid back duly till now" "furniture / equipment" 3021 "< 100 DM" "1  <= ... < 4 years" 2 "none" 2 "real estate" 24 "none" "A151" 1 "unskilled - resident" 1 "none" "yes" "GOOD" "Female" 0.5872093 1
"220" "no checking account" 10 "existing credits paid back duly till now" "car (new)" 1364 "< 100 DM" "1  <= ... < 4 years" 2 "none" 4 "car or other" 64 "none" "A152" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Male" 0.10471204 0
"221" "0 < ... <  200 DM" 12 "existing credits paid back duly till now" "radio / television" 625 "< 100 DM" "< 1 year" 4 "guarantor" 1 "real estate" 26 "bank" "A152" 1 "unskilled - resident" 1 "none" "yes" "GOOD" "Female" 0.23560209 0
"222" "< 0 DM" 12 "existing credits paid back duly till now" "education" 1200 "unknown / no savings account" "1  <= ... < 4 years" 4 "none" 4 "building society savings agreement / life insurance" 23 "bank" "A151" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Male" 0.61928934 1
"223" "no checking account" 12 "existing credits paid back duly till now" "radio / television" 707 "< 100 DM" "1  <= ... < 4 years" 4 "none" 2 "real estate" 30 "bank" "A152" 2 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.22527473 0
"224" "no checking account" 24 "delay in paying off in the past" "business" 2978 "unknown / no savings account" "1  <= ... < 4 years" 4 "none" 4 "real estate" 32 "none" "A152" 2 "skilled employee / official" 2 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.17837838 0
"225" "no checking account" 15 "existing credits paid back duly till now" "car (used)" 4657 "< 100 DM" "1  <= ... < 4 years" 3 "none" 2 "car or other" 30 "none" "A152" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.08571429 0
"226" "no checking account" 36 "no credits taken / all credits paid back duly" "repairs" 2613 "< 100 DM" "1  <= ... < 4 years" 4 "none" 2 "car or other" 27 "none" "A152" 2 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.40112994 0
"227" "0 < ... <  200 DM" 48 "existing credits paid back duly till now" "radio / television" 10961 ">= 1000 DM" "4  <= ... < 7 years" 1 "co-applicant" 2 "unknown / no property" 27 "bank" "A152" 2 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "BAD" "Female" 0.46703297 0
"228" "< 0 DM" 12 "existing credits paid back duly till now" "furniture / equipment" 7865 "< 100 DM" ">= 7 years" 4 "none" 4 "unknown / no property" 53 "none" "A153" 1 "management / self-employed / highly qualified employee / officer" 1 "yes, registered under the customers name" "yes" "BAD" "Female" 0.57062147 1
"229" "no checking account" 9 "existing credits paid back duly till now" "radio / television" 1478 "< 100 DM" "4  <= ... < 7 years" 4 "none" 2 "car or other" 22 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "BAD" "Female" 0.12921348 0
"230" "< 0 DM" 24 "existing credits paid back duly till now" "furniture / equipment" 3149 "< 100 DM" "< 1 year" 4 "none" 1 "unknown / no property" 22 "bank" "A153" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.51149425 1
"231" ">= 200 DM" 36 "existing credits paid back duly till now" "radio / television" 4210 "< 100 DM" "1  <= ... < 4 years" 4 "none" 2 "car or other" 26 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "BAD" "Female" 0.14795918 0
"232" "no checking account" 9 "existing credits paid back duly till now" "car (new)" 2507 "500 <= ... < 1000 DM" ">= 7 years" 2 "none" 4 "unknown / no property" 51 "none" "A153" 1 "unskilled - resident" 1 "none" "yes" "GOOD" "Female" 0.16042781 0
"233" "no checking account" 12 "existing credits paid back duly till now" "radio / television" 2141 "100 <= ... <  500 DM" "4  <= ... < 7 years" 3 "none" 1 "unknown / no property" 35 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.10843373 0
"234" "0 < ... <  200 DM" 18 "existing credits paid back duly till now" "radio / television" 866 "< 100 DM" "1  <= ... < 4 years" 4 "guarantor" 2 "real estate" 25 "none" "A152" 1 "unskilled - resident" 1 "none" "yes" "GOOD" "Female" 0.22905028 0
"235" "no checking account" 4 "critical account / other credits existing (not at this bank)" "radio / television" 1544 "< 100 DM" "4  <= ... < 7 years" 2 "none" 1 "real estate" 42 "none" "A152" 3 "unskilled - resident" 2 "none" "yes" "GOOD" "Female" 0.02105263 0
"236" "< 0 DM" 24 "existing credits paid back duly till now" "radio / television" 1823 "< 100 DM" "unemployed" 4 "none" 2 "car or other" 30 "stores" "A152" 1 "management / self-employed / highly qualified employee / officer" 2 "none" "yes" "BAD" "Female" 0.48205128 0
"237" "0 < ... <  200 DM" 6 "existing credits paid back duly till now" "car (new)" 14555 "unknown / no savings account" "unemployed" 1 "none" 2 "building society savings agreement / life insurance" 23 "none" "A152" 1 "unemployed / unskilled  - non-resident" 1 "yes, registered under the customers name" "yes" "BAD" "Female" 0.34196891 0
"238" "0 < ... <  200 DM" 21 "existing credits paid back duly till now" "business" 2767 "100 <= ... <  500 DM" ">= 7 years" 4 "none" 2 "car or other" 61 "bank" "A151" 2 "unskilled - resident" 1 "none" "yes" "BAD" "Female" 0.32402235 0
"239" "no checking account" 12 "critical account / other credits existing (not at this bank)" "radio / television" 1291 "< 100 DM" "1  <= ... < 4 years" 4 "none" 2 "building society savings agreement / life insurance" 35 "none" "A152" 2 "skilled employee / official" 1 "none" "yes" "GOOD" "Male" 0.04455446 0
"240" "< 0 DM" 30 "existing credits paid back duly till now" "radio / television" 2522 "< 100 DM" ">= 7 years" 1 "guarantor" 3 "building society savings agreement / life insurance" 39 "none" "A152" 1 "skilled employee / official" 2 "none" "yes" "GOOD" "Female" 0.35087719 0
"241" "< 0 DM" 24 "existing credits paid back duly till now" "car (new)" 915 "unknown / no savings account" ">= 7 years" 4 "none" 2 "car or other" 29 "bank" "A152" 1 "skilled employee / official" 1 "none" "yes" "BAD" "Male" 0.63684211 1
"242" "no checking account" 6 "existing credits paid back duly till now" "radio / television" 1595 "< 100 DM" "4  <= ... < 7 years" 3 "none" 2 "building society savings agreement / life insurance" 51 "none" "A152" 1 "skilled employee / official" 2 "none" "yes" "GOOD" "Female" 0.06282723 0
"243" "< 0 DM" 48 "no credits taken / all credits paid back duly" "car (used)" 4605 "< 100 DM" ">= 7 years" 3 "none" 4 "unknown / no property" 24 "none" "A153" 2 "skilled employee / official" 2 "none" "yes" "BAD" "Female" 0.67379679 1
"244" "no checking account" 12 "critical account / other credits existing (not at this bank)" "business" 1185 "< 100 DM" "1  <= ... < 4 years" 3 "none" 2 "real estate" 27 "none" "A152" 2 "skilled employee / official" 1 "none" "yes" "GOOD" "Male" 0.05978261 0
"245" "no checking account" 12 "all credits at this bank paid back duly" "retrainin" 3447 "500 <= ... < 1000 DM" "1  <= ... < 4 years" 4 "none" 3 "real estate" 35 "none" "A152" 1 "unskilled - resident" 2 "none" "yes" "GOOD" "Male" 0.24175824 0
"246" "no checking account" 24 "existing credits paid back duly till now" "business" 1258 "< 100 DM" "4  <= ... < 7 years" 4 "none" 1 "real estate" 25 "none" "A152" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.18134715 0
"247" "no checking account" 12 "critical account / other credits existing (not at this bank)" "radio / television" 717 "< 100 DM" ">= 7 years" 4 "none" 4 "real estate" 52 "none" "A152" 3 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.02325581 0
"248" "no checking account" 6 "no credits taken / all credits paid back duly" "car (new)" 1204 "100 <= ... <  500 DM" "1  <= ... < 4 years" 4 "none" 1 "unknown / no property" 35 "bank" "A151" 1 "skilled employee / official" 1 "none" "no" "GOOD" "Female" 0.45273632 0
"249" ">= 200 DM" 24 "existing credits paid back duly till now" "furniture / equipment" 1925 "< 100 DM" "1  <= ... < 4 years" 2 "none" 2 "real estate" 26 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.23834197 0
"250" "no checking account" 18 "existing credits paid back duly till now" "radio / television" 433 "< 100 DM" "unemployed" 3 "co-applicant" 4 "real estate" 22 "none" "A151" 1 "skilled employee / official" 1 "none" "yes" "BAD" "Male" 0.28095238 0
"251" "< 0 DM" 6 "critical account / other credits existing (not at this bank)" "car (new)" 666 ">= 1000 DM" "4  <= ... < 7 years" 3 "none" 4 "real estate" 39 "none" "A152" 2 "unskilled - resident" 1 "yes, registered under the customers name" "yes" "GOOD" "Male" 0.13567839 0
"252" ">= 200 DM" 12 "existing credits paid back duly till now" "furniture / equipment" 2251 "< 100 DM" "1  <= ... < 4 years" 1 "none" 2 "car or other" 46 "none" "A152" 1 "unskilled - resident" 1 "none" "yes" "GOOD" "Male" 0.21989529 0
"253" "0 < ... <  200 DM" 30 "existing credits paid back duly till now" "car (new)" 2150 "< 100 DM" "1  <= ... < 4 years" 4 "guarantor" 2 "unknown / no property" 24 "bank" "A152" 1 "skilled employee / official" 1 "none" "yes" "BAD" "Male" 0.61111111 1
"254" "no checking account" 24 "delay in paying off in the past" "furniture / equipment" 4151 "100 <= ... <  500 DM" "1  <= ... < 4 years" 2 "none" 3 "building society savings agreement / life insurance" 35 "none" "A152" 2 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.19895288 0
"255" "0 < ... <  200 DM" 9 "existing credits paid back duly till now" "furniture / equipment" 2030 "unknown / no savings account" "4  <= ... < 7 years" 2 "none" 1 "car or other" 24 "none" "A152" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.3626943 0
"256" "0 < ... <  200 DM" 60 "delay in paying off in the past" "radio / television" 7418 "unknown / no savings account" "1  <= ... < 4 years" 1 "none" 1 "real estate" 27 "none" "A152" 1 "unskilled - resident" 1 "none" "yes" "GOOD" "Female" 0.32298137 0
"257" "no checking account" 24 "critical account / other credits existing (not at this bank)" "radio / television" 2684 "< 100 DM" "1  <= ... < 4 years" 4 "none" 2 "real estate" 35 "none" "A152" 2 "unskilled - resident" 1 "none" "yes" "GOOD" "Female" 0.05494505 0
"258" "< 0 DM" 12 "all credits at this bank paid back duly" "radio / television" 2149 "< 100 DM" "1  <= ... < 4 years" 4 "none" 1 "unknown / no property" 29 "none" "A153" 1 "skilled employee / official" 1 "none" "yes" "BAD" "Female" 0.55497382 1
"259" "no checking account" 15 "existing credits paid back duly till now" "car (used)" 3812 "100 <= ... <  500 DM" "< 1 year" 1 "none" 4 "car or other" 23 "none" "A152" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Male" 0.16666667 0
"260" "no checking account" 11 "critical account / other credits existing (not at this bank)" "radio / television" 1154 "100 <= ... <  500 DM" "unemployed" 4 "none" 4 "real estate" 57 "none" "A152" 3 "unskilled - resident" 1 "none" "yes" "GOOD" "Male" 0.08854167 0
"261" "< 0 DM" 12 "existing credits paid back duly till now" "furniture / equipment" 1657 "< 100 DM" "1  <= ... < 4 years" 2 "none" 2 "real estate" 27 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.2408377 0
"262" "< 0 DM" 24 "existing credits paid back duly till now" "radio / television" 1603 "< 100 DM" ">= 7 years" 4 "none" 4 "car or other" 55 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Male" 0.4375 0
"263" "< 0 DM" 18 "critical account / other credits existing (not at this bank)" "car (new)" 5302 "< 100 DM" ">= 7 years" 2 "none" 4 "unknown / no property" 36 "none" "A153" 3 "management / self-employed / highly qualified employee / officer" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.44 0
"264" "no checking account" 12 "critical account / other credits existing (not at this bank)" "education" 2748 "< 100 DM" ">= 7 years" 2 "none" 4 "unknown / no property" 57 "bank" "A153" 3 "unskilled - resident" 1 "none" "yes" "GOOD" "Male" 0.21387283 0
"265" "no checking account" 10 "critical account / other credits existing (not at this bank)" "car (new)" 1231 "< 100 DM" ">= 7 years" 3 "none" 4 "real estate" 32 "none" "A152" 2 "unskilled - resident" 2 "none" "no" "GOOD" "Female" 0.10377358 0
"266" "0 < ... <  200 DM" 15 "existing credits paid back duly till now" "radio / television" 802 "< 100 DM" ">= 7 years" 4 "none" 3 "car or other" 37 "none" "A152" 1 "skilled employee / official" 2 "none" "yes" "BAD" "Female" 0.30167598 0
"267" "no checking account" 36 "critical account / other credits existing (not at this bank)" "business" 6304 "unknown / no savings account" ">= 7 years" 4 "none" 4 "real estate" 36 "none" "A152" 2 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.0952381 0
"268" "no checking account" 24 "existing credits paid back duly till now" "radio / television" 1533 "< 100 DM" "< 1 year" 4 "none" 3 "car or other" 38 "stores" "A152" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Male" 0.17460317 0
"269" "< 0 DM" 14 "existing credits paid back duly till now" "car (new)" 8978 "< 100 DM" ">= 7 years" 1 "none" 4 "building society savings agreement / life insurance" 45 "none" "A152" 1 "management / self-employed / highly qualified employee / officer" 1 "yes, registered under the customers name" "no" "BAD" "Female" 0.42473118 0
"270" "no checking account" 24 "existing credits paid back duly till now" "radio / television" 999 "unknown / no savings account" ">= 7 years" 4 "none" 2 "car or other" 25 "none" "A152" 2 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.08805031 0
"271" "no checking account" 18 "existing credits paid back duly till now" "car (new)" 2662 "unknown / no savings account" "4  <= ... < 7 years" 4 "none" 3 "building society savings agreement / life insurance" 32 "none" "A152" 1 "skilled employee / official" 1 "none" "no" "GOOD" "Female" 0.12290503 0
"272" "no checking account" 12 "critical account / other credits existing (not at this bank)" "furniture / equipment" 1402 "500 <= ... < 1000 DM" "4  <= ... < 7 years" 3 "none" 4 "car or other" 37 "none" "A151" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Male" 0.09452736 0
"273" "0 < ... <  200 DM" 48 "all credits at this bank paid back duly" "car (new)" 12169 "unknown / no savings account" "unemployed" 4 "co-applicant" 4 "unknown / no property" 36 "none" "A153" 1 "management / self-employed / highly qualified employee / officer" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.5060241 1
"274" "0 < ... <  200 DM" 48 "existing credits paid back duly till now" "radio / television" 3060 "< 100 DM" "4  <= ... < 7 years" 4 "none" 4 "real estate" 28 "none" "A152" 2 "skilled employee / official" 1 "none" "yes" "BAD" "Female" 0.44221106 0
"275" "< 0 DM" 30 "existing credits paid back duly till now" "repairs" 11998 "< 100 DM" "< 1 year" 1 "none" 1 "unknown / no property" 34 "none" "A152" 1 "unskilled - resident" 1 "yes, registered under the customers name" "yes" "BAD" "Female" 0.52173913 1
"276" "no checking account" 9 "existing credits paid back duly till now" "radio / television" 2697 "< 100 DM" "1  <= ... < 4 years" 1 "none" 2 "real estate" 32 "none" "A152" 1 "skilled employee / official" 2 "none" "yes" "GOOD" "Female" 0.04494382 0
"277" "no checking account" 18 "critical account / other credits existing (not at this bank)" "radio / television" 2404 "< 100 DM" "1  <= ... < 4 years" 2 "none" 2 "car or other" 26 "none" "A152" 2 "skilled employee / official" 1 "none" "yes" "GOOD" "Male" 0.02150538 0
"278" "< 0 DM" 12 "existing credits paid back duly till now" "furniture / equipment" 1262 "unknown / no savings account" ">= 7 years" 2 "none" 4 "building society savings agreement / life insurance" 49 "none" "A152" 1 "unskilled - resident" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.29381443 0
"279" "no checking account" 6 "existing credits paid back duly till now" "furniture / equipment" 4611 "< 100 DM" "< 1 year" 1 "none" 4 "building society savings agreement / life insurance" 32 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "BAD" "Male" 0.11111111 0
"280" "no checking account" 24 "existing credits paid back duly till now" "radio / television" 1901 "100 <= ... <  500 DM" "1  <= ... < 4 years" 4 "none" 4 "car or other" 29 "none" "A151" 1 "management / self-employed / highly qualified employee / officer" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.18232044 0
"281" "no checking account" 15 "critical account / other credits existing (not at this bank)" "car (used)" 3368 ">= 1000 DM" ">= 7 years" 3 "none" 4 "unknown / no property" 23 "none" "A151" 2 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.13636364 0
"282" "no checking account" 12 "existing credits paid back duly till now" "furniture / equipment" 1574 "< 100 DM" "1  <= ... < 4 years" 4 "none" 2 "real estate" 50 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.05524862 0
"283" ">= 200 DM" 18 "all credits at this bank paid back duly" "radio / television" 1445 "unknown / no savings account" "4  <= ... < 7 years" 4 "none" 4 "car or other" 49 "bank" "A152" 1 "unskilled - resident" 1 "none" "yes" "GOOD" "Female" 0.28571429 0
"284" "no checking account" 15 "critical account / other credits existing (not at this bank)" "furniture / equipment" 1520 "unknown / no savings account" ">= 7 years" 4 "none" 4 "building society savings agreement / life insurance" 63 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.06285714 0
"285" "0 < ... <  200 DM" 24 "critical account / other credits existing (not at this bank)" "car (new)" 3878 "100 <= ... <  500 DM" "< 1 year" 4 "none" 2 "car or other" 37 "none" "A152" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.37113402 0
"286" "< 0 DM" 47 "existing credits paid back duly till now" "car (new)" 10722 "< 100 DM" "< 1 year" 1 "none" 1 "real estate" 35 "none" "A152" 1 "unskilled - resident" 1 "yes, registered under the customers name" "yes" "GOOD" "Male" 0.71195652 1
"287" "< 0 DM" 48 "existing credits paid back duly till now" "car (used)" 4788 "< 100 DM" "4  <= ... < 7 years" 4 "none" 3 "building society savings agreement / life insurance" 26 "none" "A152" 1 "skilled employee / official" 2 "none" "yes" "GOOD" "Female" 0.79032258 1
"288" "0 < ... <  200 DM" 48 "delay in paying off in the past" "others" 7582 "100 <= ... <  500 DM" "unemployed" 2 "none" 4 "unknown / no property" 31 "none" "A153" 1 "management / self-employed / highly qualified employee / officer" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.48529412 0
"289" "0 < ... <  200 DM" 12 "existing credits paid back duly till now" "radio / television" 1092 "< 100 DM" "1  <= ... < 4 years" 4 "guarantor" 4 "real estate" 49 "none" "A152" 2 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Male" 0.1959799 0
"290" "< 0 DM" 24 "delay in paying off in the past" "radio / television" 1024 "< 100 DM" "< 1 year" 4 "none" 4 "real estate" 48 "stores" "A152" 1 "skilled employee / official" 1 "none" "yes" "BAD" "Female" 0.53448276 1
"291" "no checking account" 12 "existing credits paid back duly till now" "business" 1076 "< 100 DM" "1  <= ... < 4 years" 2 "none" 2 "real estate" 26 "none" "A152" 1 "skilled employee / official" 1 "yes, registered under the customers name" "no" "GOOD" "Female" 0.08673469 0
"292" "0 < ... <  200 DM" 36 "existing credits paid back duly till now" "car (used)" 9398 "< 100 DM" "< 1 year" 1 "none" 4 "car or other" 28 "none" "A151" 1 "management / self-employed / highly qualified employee / officer" 1 "yes, registered under the customers name" "yes" "BAD" "Female" 0.42528736 0
"293" "< 0 DM" 24 "critical account / other credits existing (not at this bank)" "car (used)" 6419 "< 100 DM" ">= 7 years" 2 "none" 4 "unknown / no property" 44 "none" "A153" 2 "management / self-employed / highly qualified employee / officer" 2 "yes, registered under the customers name" "yes" "GOOD" "Male" 0.28191489 0
